	relationship	smoker	alp	weight	trombocyty	hematokrit	hemoglobin	er-cv	ast	ssn	erytrocyty	indicator	hbver	leukocyty	alt	etytr	name
4617	divoced	no	34.58298	80.12886	9.56109	6.91373	1.97878	81.80329	40.21131	878-48-9187	3.30750	0.00000	6.38619	5.83890	5.67082	5.47123	Emily Greene
4618	married	no	84.83900	88.13237	7.18096	3.83107	6.18799	73.56806	34.08635	740-71-7096	5.40511	0.00000	5.07783	5.51320	5.80775	5.89923	Mr. Jacob Shepard
4619	widowed	yes	65.32637	90.09798	7.56345	4.06360	5.23172	52.86821	31.44503	332-65-9388	2.05304	1.00000	5.89691	4.91128	1.40289	5.65941	Yesenia Smith
4620	separated	yes	48.21351	100.60460	7.55241	4.09024	4.74356	74.36370	16.43023	889-47-6246	5.62233	0.00000	6.53220	7.00997	9.64795	7.39616	Christopher Leblanc
4621	divoced	yes	25.22521	32.51043	7.86420	8.67275	2.26781	49.47784	48.30872	373-10-0078	8.08230	1.00000	5.33021	7.14793	15.63727	6.44335	Maureen Yates
4622	divoced	no	35.89483	8.91276	7.95932	6.02497	8.22912	29.32826	86.97793	468-70-9623	5.66294	1.00000	6.83825	5.74125	5.10675	6.02948	Evan Rivera
4623	single	no	73.96081	118.01987	7.41727	4.23020	7.19044	61.08683	38.14373	584-98-2239	5.45945	0.00000	6.69245	4.08121	4.40935	5.27001	Kari Ward
4624	divoced	no	73.95307	114.45884	5.79961	4.47808	5.35832	66.30509	11.80554	791-38-6275	3.50864	1.00000	4.79772	7.35025	5.53280	6.21803	Kathy Garcia
4625	separated	yes	80.77729	63.38989	8.27467	7.21350	6.78277	71.40128	56.10507	399-12-6663	3.52795	1.00000	4.44143	4.93690	3.80522	7.79217	John Valenzuela
4626	widowed	no	90.58470	112.70077	5.87169	1.46279	6.60832	25.46144	68.85040	432-92-2402		0.00000	7.24618	6.97965	37.56346	6.72024	David Hicks
4627	separated	yes	64.87014	115.78576	7.25245	6.61743	5.10931	60.72946	52.32563	183-56-8655	7.01644	1.00000	5.03151	6.90842	7.70917	7.02873	Stephanie Thompson
4628	married	no	35.24982	105.11401	7.62035	3.97573	8.11586	57.58534	35.63481	083-45-5787	5.69084	1.00000	5.52071	4.89023	7.11338	5.31686	Ronald Jones
4629	widowed	no	79.01261	32.31551	7.28934	6.66172	5.53505	46.14188	63.78096	187-15-4138	7.09662	1.00000	6.95461	5.66153	9.52312	6.37116	Brandon Hunt
4630	married	N	31.12381	75.13560	7.14690	5.09713	8.13800	49.17833	45.25933	723-73-3884	6.02165	1.00000	5.59312	7.35195	7.24389	4.89027	Jennifer Simmons
4631	widowed	yes	33.97657	148.53693	8.25079	4.78663	8.51353	55.95215	34.54270	368-84-9066	8.27850	0.00000	5.77658	4.99224	15.33938	7.14020	Travis Torres
4632	single	no	42.03866	57.63988	7.73351	6.08784	7.85293	46.32898	51.61688	227-82-8508	6.09908	0.00000	8.17377	6.11753	6.53684	6.36112	Perry Gentry
4633	single	no	60.86417	52.99045	7.39952	4.62246	7.58439	57.89156	51.42219	435-92-0109	5.29006	1.00000	6.04613	6.55779	4.95019	6.32080	Jose Barron
4634	nop	yes	85.92364	146.04917	7.64956	4.40643	6.49161	67.12363	44.04047	784-48-1717	4.43363	0.00000	6.19408	5.45298	3.75818	6.58559	Matthew Ford
4635	single	no	31.81071	89.99394	8.46292	7.10724	4.45044	57.31761	49.76872	860-91-8660	6.93725	1.00000	6.69347	7.07113	7.42624	6.45738	Robert Smith
4636	divoced	no	85.60884	82.01115	8.70260	7.12134	6.35159	42.81242	43.81322	244-10-8939	6.34072	1.00000	6.64932	5.40834	8.84508	5.86222	Gregory Contreras
4637	widowed	no	70.60056	96.17185	7.84613	8.39313	5.54853	65.82573	27.56085	087-17-1339	7.04970	1.00000	6.32363	6.35705	8.12851	8.01389	Ronald Adams
4638	married	no	77.28689	96.52344	7.88887	6.84100	5.73436	45.58360	42.31463	194-91-0580	6.90111	1.00000	6.73453	7.29124	6.90506	6.08295	Samuel Hall
4639	divoced	no	44.85837	77.33239	8.42189	5.49325	7.91586	33.87497	46.03265	464-09-5042	4.59500	1.00000	5.64837	8.92651	5.96636	5.97041	Bryan Randall
4640	divoced	Y	37.80303	39.59797	7.45712	7.75628	4.36539	69.22913	57.11947	204-85-8564	7.39994	1.00000	4.42482	5.94000	8.57428	6.71462	Jorge Fuller
4641	nop	no	57.90623	45.40767	7.66068	6.43713	4.99917	49.46558	38.08760	522-30-0770	7.14111	1.00000	4.29307	7.39067	9.75425	6.24519	Joshua Johnson
4642	single	no	71.40112	104.10898	7.26472	5.95799	7.10914	54.04482	64.42715	018-02-4908	5.73734	0.00000	7.35114	6.93251	3.58270	5.37976	Timothy Nelson
4643	single	no	12.65482	66.08703	5.23031	7.71829	3.08891	63.07759	17.22662	562-32-3829	8.72463	1.00000	5.69469	5.86008	21.27497	5.29869	Karina Williams
4644	divoced	no	27.00781	58.38918	5.55818	3.06919	4.22011	46.89523	21.56773	626-31-6723	2.17690	1.00000	5.43346	6.23134	5.24611	6.23491	Joan Patel
4645	married	N	92.55409	53.28448	6.53718	5.25859	6.57380	78.09369	50.31236	745-17-7229	6.97277	0.00000	6.62637	7.10365	7.76983	6.09895	Eric Foster
4646	single	no	11.68749	130.76737	5.07310	7.95202	3.68185	41.49386	67.12541	826-86-1362	8.65025	1.00000	5.59177	5.02299	21.24150	5.00339	Jennifer Wright
4647	nop	Y	46.75000	71.32257	7.82739	5.40798	7.82092	48.02867	55.49218	176-30-2300	7.90581	0.00000	6.77954	6.90284	13.04248	6.05753	Lisa Humphrey
4648	nop	no	80.18869	42.49470	6.48467	4.54463	7.07256	60.35091	52.73489	193-65-7811	8.97061	0.00000	5.47436	7.36004	30.07892	5.66375	Tammy Herrera
4649	widowed	Y	66.57823	63.51986	7.15622	5.38564	7.24183	58.89067	66.75404	573-26-3825	7.61643	0.00000	6.77668	7.37795	11.46860	6.73152	Rebecca Taylor
4650	divoced	no	78.85365	58.05247	6.27521	4.11757	5.68177	57.69951	43.68768	151-62-6400	3.59205	1.00000	5.43079	6.80814	8.20292	7.25529	Jose Norris
4651	nop	no	38.91229	54.26611	6.43262	6.53647	4.51442	56.57061	39.40567	649-47-6919	7.64982	1.00000	4.73560	7.42578	9.71306	7.16031	Lisa Hunt
4652	widowed	no	78.60833	151.69952	5.85056	5.41833	5.62521	33.39069	40.65960	045-71-7755	7.34832	1.00000	6.65203	4.55731	8.12523	5.96023	Jennifer Delgado
4653	single	no	78.95552	7.42939	6.43061	5.79634	6.87457	54.60739	35.80336	195-47-0022	8.63074	0.00000	6.93429	6.72556	21.00854	7.07143	Robert Johnson
4654	divoced	Y	63.17386	57.02030	4.69739	3.93490	5.08025	44.30073	45.97048	250-81-0180	7.61910	0.00000	7.02242	5.61120	13.44785	5.74822	Teresa Leon
4655	divoced	N	44.86571	62.41792	7.64333	4.40261	7.91491	62.06008	44.93343	028-66-0246	7.96833	0.00000	5.98556	5.80248	12.44067	6.21934	Lisa Barry
4656	divoced	Y	39.29488	79.80347	7.44470	5.04030	8.07605	43.40506	47.91955	698-02-2385	5.74947	1.00000	6.82255	9.12786	4.81311	4.83867	Jennifer Cox
4657	married	yes	41.42551	150.15256	5.97944	7.37337	4.49000	51.48917	34.87670	781-43-2318	8.00092	1.00000	5.73737	4.28659	15.98794	6.39246	Tara Armstrong
4658	nop	no	88.50451	51.51516	6.10980	5.58780	6.24604	76.12740	23.44774	707-91-3436	7.33170	0.00000	6.32034	6.53725	9.41600	6.08608	Julia Santiago
4659	widowed	Y	42.09134	36.87811	7.86959	7.72140	4.56107	69.23150	71.51113	022-24-3792	7.23152	1.00000	7.14613	6.45371	10.24352	7.28063	Jessica Smith
4660	married	N	43.86029	96.52981	8.22561	3.95786	4.65740	45.09398	36.05446	895-70-7284	6.00114	0.00000	5.51720	7.14279	7.98590	6.00267	Hannah Gonzales
4661	divoced	yes	74.30698	27.25382	7.79178	7.22151	5.51227	45.99525	31.74356	176-19-8185	6.97683	1.00000	5.51287	6.49663	7.34120	6.94042	Dr. Chad Cole
4662	married	no	33.35244	111.05631	8.86535	5.64201	8.29113	42.14146	30.29683	575-81-4171	6.00084	0.00000	6.16595	6.55020	7.82201	6.90349	David Robinson
4663	single	Y	33.26742	114.42110	6.14248	5.17149	4.33291	62.43802	57.93293	530-37-1170	1.63722	1.00000	7.57925	6.42822	4.69065	5.97645	Shannon Franco
4664	divoced	yes	89.92004	83.50957	7.67750	6.64861	6.47332	58.92203	57.83849	791-99-2105	6.62598	1.00000	4.99349	6.78578	7.31263	4.60488	Mr. Scott Parsons
4665	widowed	no	92.98690	16.95808	6.32013	5.06577	6.27912	64.57805	35.91468	628-14-5477	7.32865	0.00000	3.67717	6.84850	7.52112	6.77852	Cristian Brown
4666	married	yes	66.85672	87.24924	7.68900	7.26920	5.27476	67.16969	37.70098	714-22-2315	7.01560	1.00000	6.20128	7.66387	9.06866	4.67983	Tina Contreras
4667	divoced	yes	47.80012	51.49580	8.13956	3.92986	7.88174	49.84840	68.41878	762-14-7257	6.59308	1.00000	6.06888	4.70152	7.50965	6.93305	Audrey Contreras
4668	divoced	yes	19.40148	87.75586	8.28780	3.52083	9.23739	46.37512	44.21774	527-99-4143	6.65742	1.00000	5.13801	7.49109	7.75251	7.07218	Kimberly White
4669	widowed	no	63.86988	55.83328	7.23190	6.29390	5.15149	56.18427	50.45122	363-76-6015	7.07937	1.00000	6.79603	4.29837	6.67401	4.58687	Donald Frye
4670	divoced	no	80.55325	68.76619	5.61194	5.05174	5.67376	31.71693	55.19332	579-31-2505	4.26789	1.00000	4.73143	6.40849	7.20618	5.71831	Jessica Hall
4671	married	no	52.77078	43.22677	8.07951	3.11449	7.72977	42.91113	46.64631	084-04-4455	4.63983	0.00000	6.32788	5.97442	7.50232	6.41274	Joshua Jones
4672	married	no	90.92754	58.77075	6.76064	6.67057	6.33031	11.82254	63.98056	287-15-6819	4.21159	1.00000	6.40443	6.19039	3.78358	6.50405	Glen Guzman
4673	single	no	72.23946	73.04075	6.26687	4.83218	7.12370	43.00156	26.51926	643-26-0488	5.68180	1.00000	6.81920	7.67438	4.78954	6.27289	Holly Vargas
4674	widowed	no	12.80030	108.29605	9.06034	6.13893	3.51590	40.48476	55.24301	711-97-9977	3.76959	0.00000	5.77268	5.83619	4.79048	6.68133	Lisa Williams
4675	single	no	82.47956	87.75585	5.74404	3.95955	5.69786	68.79285	37.98571	619-54-0982	6.54333	0.00000	6.01649	7.37661	5.65534	6.22095	Sue Bryant
4676	divoced	no	19.85090	48.01957	5.88639	6.91880	3.76512	44.43702	68.82540	190-03-1352	8.10352	1.00000	5.64719	8.11583	13.17611	6.07959	Erik Carr
4677	single	N	73.98674	-10.96584	7.01708	6.00460	5.37820	42.72893	42.53196	554-16-0774	7.20491	1.00000	6.34939	5.28247	7.42066	6.56528	Dr. Kenneth Evans
4678	nop	yes	81.72391	30.35154	6.83446	4.41732	6.77208	53.26882	26.76765	573-26-3825	6.71548	0.00000	6.66426	6.34865	8.00448	5.81786	Rebecca Taylor
4679	married	yes	76.47016	69.68736	5.85633	4.05850	5.55836	81.37933	37.72216	288-16-5927	3.86715	1.00000	6.76056	6.76462	2.62826	5.54698	Jennifer Kennedy
4680	widowed	yes	69.45369	69.66304	6.10398	6.07635	5.17078	34.34404	64.33604	457-36-3485	7.53971	1.00000	6.41961	5.48243	11.17882	6.10492	Julie Hayes
4681	separated	yes	44.78491	28.59431	5.64513	3.93528	4.54330	53.72130	44.42696	359-26-9381	2.57339	1.00000	6.51093	5.66695	3.00247	4.06019	Linda Reed
4682	divoced	no	64.44378	44.61573	6.49127	4.93551	5.18451	36.84569	75.01728	287-14-2486	5.17723	0.00000	5.23784	5.93673	7.55062	5.89883	Deborah Mosley
4683	divoced	yes	78.08094	55.28541	6.49057	5.23150	6.78555	66.07970	45.16712	785-16-5257	4.76731	1.00000	6.07447	7.11463	3.77377	7.05314	Craig Jones
4684	divoced	no	55.04434	71.29883	7.61104	4.73505	7.63169	78.88688	24.55975	624-61-5279	7.86074	0.00000	6.87466	5.59799	13.30680	4.64807	Erica Lutz
4685	separated	no	18.36311	58.97906	7.40328	5.14698	8.62021	70.23541	41.82734	269-55-7339	6.33199	1.00000	4.75619	6.06047	6.52197	7.31446	Nicholas Miller
4686	divoced	no	88.74193	86.41528	8.58829	7.63832	6.21152	54.94255	43.13390	043-98-0024	6.46130	1.00000	6.54853	5.38523	5.00037	7.57148	Mark Dominguez II
4687	widowed	yes	68.33740	69.11921	6.88084	3.60221	7.20599	64.53119	32.18818	586-73-0706	8.72006	0.00000	7.50939	6.57201	20.43561	4.82740	Christopher Carson
4688	divoced	Y	6.85866	66.41032	10.16482	5.80496	9.99034	38.24796	68.56011	550-59-3764	7.95252	0.00000		6.84999	12.53888	6.38326	Randall Dominguez
4689	single	no	64.04122	26.64003	7.54033	6.11318	5.17467	49.26146	23.52404	689-98-4698	7.01709	1.00000	7.30857	7.16162	6.07199	5.60925	Lauren Pitts
4690	single	Y	37.45687	57.86879	6.39976	7.41802	4.32123	63.69574	44.01896	458-18-6917	7.75215	1.00000	6.31729	5.29290	13.00318	5.56809	Elizabeth Porter
4691	single	no	91.18390	73.60470	6.52211	3.97687	6.28166	49.75867	76.65347	056-65-2058	6.54045	0.00000	6.62075	5.85771	7.50683	6.29941	Anthony Brady
4692	divoced	no	79.05901	71.30050	8.88593	3.96610	5.54386	74.88766	25.30269	693-24-3445	4.60174	0.00000	6.15997	7.64569	5.32647	8.05713	Kim Lane
4693	separated	no	53.06876	128.90061	6.55846	6.43714	4.66355	57.46272	68.41685	017-70-1477	3.72137	0.00000	5.62547	6.73390	2.67068	6.13776	Mark Graham
4694	single	no	83.41069	59.18938	8.21645	4.03174	6.84730	59.90067	34.86481	489-29-4976	3.55014	1.00000	5.01761	6.27370	4.54209	6.50616	Gene Robinson
4695	married	no	80.57540	97.74852	6.96506	3.55458	6.67974	63.22601	36.50140	388-56-6775	6.55531	0.00000	6.18630	6.20375	10.06228	5.32759	Candice Davis
4696	married	yes	85.64678	112.68911	7.56900	6.49988	6.17277		53.31878	584-98-2239	3.53281	1.00000	6.18176	6.06870	1.58932	6.11265	Kari Ward
4697	single	no	85.10567	55.18160	6.01353	5.03287	6.76586	29.37819	63.07940	435-28-8469	5.29627	1.00000	6.65079	5.97443	6.51987	4.25665	Brian Stephens
4698	nop	Y	17.21303	111.51122	8.53879	8.22905	3.78092	54.82676	28.89520	040-96-9600	7.37747	1.00000	7.25111	5.34105	8.85333	3.73803	Dr. Lisa Hurley
4699	married	no	44.29047	47.98882	9.60527	1.99652	4.71269	59.67001	46.13782	346-84-4916	6.99955	0.00000	4.37813	4.74993	8.09819	5.29450	Michael Newman
4700	single	no	56.13923	70.16878	7.57966	8.56141	4.85132	46.33202	62.22952	611-84-1521	7.46108	1.00000	4.86216	4.96759	11.18182	6.83195	Robert Wade
4701	married	yes	72.83493	86.80124	7.43887	4.99670	7.31127	51.06558	35.33090	312-13-0627	4.91612	1.00000	4.99065	7.37459	4.25338	4.33222	Alyssa Dominguez
4702	single	no	84.99706	35.59347	9.59580	1.75057	6.69687	32.62800	45.72614	539-62-7571	6.30939	0.00000	7.68629	6.44070	6.15412	5.85986	Stacy Nelson
4703	separated	yes	85.42980	135.18943	6.08189	4.09135	6.04719	58.52654	62.93179	764-74-6179	4.26054	1.00000	6.48523	5.75919	5.78482	5.97711	Brian Roberts
4704	widowed	no	80.52823	17.20488	7.03519	7.26169	5.59306	46.75325	80.05097	190-40-3258	7.14944	1.00000	8.30188	6.04248	9.34532	5.77047	John Ortiz
4705	single	no	12.18030	84.98408	6.21402	8.17286	3.25583	45.20495	40.38956	774-22-0392	8.28869	1.00000	6.30188	7.40958	16.31744	5.18758	Cassandra Wagner
4706	nop	no	54.93926	101.26083	6.18658	6.05761	4.87476	42.86551	49.87816	115-73-8391	7.63667	1.00000	4.79401	7.58009	10.21061	7.05458	Kristi Green
4707	single	yes	42.12889	76.36695	8.62449	3.31626	7.86508	38.09611	38.08507	721-53-2147	4.68415	1.00000	5.07033	6.67559	5.84130	6.29822	Suzanne Snyder
4708	single	yes	36.97055	76.35880	7.12321	7.99832	4.14904	53.12761	75.63593	147-31-9321	7.68638	1.00000	6.68396	7.09286	8.25088	6.08144	Sheri Brown
4709	married	yes	50.44708	72.05627	5.13477	6.11953	4.77826	59.90597	49.52780	433-98-9266	7.87414	1.00000	5.77835	8.54663	10.79553	4.28227	Robert Thornton
4710	divoced	no	65.11237	70.19836	5.85699	3.56352	5.16900	63.29378	59.96363	166-51-9296	3.14601	1.00000	7.28005	5.62257	6.11210	5.20412	Benjamin Cooper
4711	married	no	83.53018	95.38099	7.14474	6.44405	6.78561	68.37023	47.67430	876-76-0881	6.35483	0.00000	5.58552	7.74060	8.76821	7.88768	Rebecca Green
4712	single	no	79.57058	154.12883	8.17582	3.90561	5.73928	51.37915	38.48793	818-63-0588	5.09003	0.00000	4.85794	5.70035	5.70215	6.43480	Ann Rivera
4713	married	yes	95.03392	84.74113	7.25577	6.36356	6.14549	62.41974	55.96461	252-48-3458	6.96817	1.00000	4.52033	5.94874	5.88188	7.87374	Michael Jones
4714	widowed	yes	75.23704	54.60063	7.02620	5.41802	7.20425	52.89795	43.93513	567-91-4790	7.64076	0.00000	7.26260	7.01885	12.69419	7.67685	Jeffery Hernandez
4715	married	no	73.65625	66.88861	8.21889	7.59754	5.41759	42.69285	46.47773	582-37-7332	6.87381	1.00000	6.26825	6.64243	7.50373	6.03240	Bobby York
4716	single	no	69.24847	42.43790	6.72590	7.14762	5.13628	43.45086	47.52629	092-30-3164	7.43421	1.00000	5.28016	5.41106	9.41588	6.96096	Joseph Thompson
4717	single	no	89.05298	104.43255	5.88474	3.96412	6.54969	53.43015	36.85564	394-68-5920	8.45968	0.00000	6.86525	6.42431	18.73384	5.08619	Kelly Chapman
4718	single	Y	86.33853	34.35087	6.30064	4.33285	6.46058	56.53484	39.79403	694-12-4676	7.36431	0.00000	6.31104	3.90600	8.43201	6.40174	Mr. Tyler Sullivan MD
4719	married	Y	42.96968	45.69684	8.42037	2.75565	10.70790	60.09188	54.01062	056-32-6897	8.52788	1.00000	7.45098	5.74589	18.63301	7.84892	Nancy Hinton
4720	married	no	80.20443	60.95086	7.72411	3.61187	6.85835	67.71012	54.74905	792-93-9049	3.77179	1.00000	5.19428	6.35354	5.56687	6.01554	Jessica Sexton MD
4721	married	no	64.73118	88.82013	7.48958	4.03308	7.38001	62.79186	63.27189	116-86-2189	4.99831	1.00000	6.45097	7.71916	5.60621	5.77016	Jeremy Lowe
4722	divoced	N	25.48101	57.96750	8.24901	5.07447	8.51567	65.97110	50.06545	174-89-1358	5.77817	1.00000	5.41360	5.11750	3.38610	7.38320	Jennifer Gonzalez
4723	married	Y	87.33584	43.40104	7.03384	7.04045	6.11705	56.12149	45.84696	299-54-5864	6.95979	1.00000	7.20029	7.78000	9.12686	6.58954	Trevor Diaz
4724	married	no	75.82539	44.55706	6.34508	7.55485	5.33061	51.23154	58.33948	096-85-6165	7.45550	1.00000	6.14377	6.44746	9.33467	8.04373	Mrs. Mariah Hammond DDS
4725	divoced	Y	6.59520	72.62950	8.86913	6.77396	3.68128	26.67926	63.59131	609-73-6613	2.71089	0.00000	6.93116	6.99629	2.89639	5.36712	Shawn Johnson
4726	married	N	10.39991	58.28475	7.43217	5.00504	8.95398	69.28510	42.90653	738-08-1244	7.21236	1.00000	6.24282	5.18925	6.65842	7.01515	Brandy Romero
4727	widowed	yes	34.96773	97.88206	7.70143	4.94015	8.09602	63.22616	56.33451	332-71-4401	8.41497	0.00000	5.20041	6.36723	20.31493	7.50517	Jeffrey Parrish
4728	married	no	46.70810	119.39458	8.52403	4.69895	7.96015	42.92087	27.18519	022-58-2026	4.83096	1.00000	8.06435	6.65524	5.54015	5.73909	Jeremy Rose
4729	single	no	24.47762	94.13033	6.49457	5.01049	3.96408	50.82631	30.34094	258-60-9606	5.68629	0.00000	5.87860	5.48694	5.42233	7.07193	Karen Castro
4730	single	no	63.06732	76.29378	6.89645	3.80588	5.39028	54.45013	60.81434	648-55-5957	2.96733	1.00000	8.52175	6.15054	6.94904	7.38991	Mrs. Jill Morrison
4731	single	no	56.55666	55.54813	6.89581	3.30239	7.51554	51.41517	42.49664	366-83-4404	9.08839	0.00000	7.55616	5.95256	31.52725	7.11843	Kevin Stewart
4732	widowed	no	57.37508	136.82771	8.53583	4.05847	5.05114	62.77758	45.58220	456-54-5374	5.49520	0.00000	7.70466	5.77039	5.91780	7.95528	Angela Hill
4733	widowed	no	88.32004	60.96953	7.44643	6.28633	6.55339		43.75621	058-73-1074	5.04533	0.00000	6.77030	5.95148	7.61911	7.39186	Ronald Daniels
4734	single	N	21.11562	83.21192	9.60748	5.76444	8.68155	86.45834	24.80948	418-42-4292	4.84475	0.00000	6.31973	4.77265	5.00719	7.34428	Justin Mullins
4735	divoced	no	93.96411	75.00318	6.20717	4.43618	6.42583	53.51895	56.17977	845-84-4865	7.38548	0.00000	5.67189	7.24301	9.63921	5.17133	Matthew Parker
4736	divoced	no	81.83149	68.13031		4.23023	5.69069	29.90418	17.16344	066-37-6866	7.47147	0.00000	6.49745	6.68834	11.68939	5.97954	Mrs. Ann Monroe
4737	married	Y	73.77706	80.11780	7.22019	6.57308	7.21136	54.59696	88.67150	423-05-9972	8.04066	0.00000	5.20280	5.00673	13.09074	5.45527	David Hogan
4738	single	no	22.52222	39.87893	4.69942	6.01400	4.24571	39.52197	66.33876	726-48-0428	8.11124	1.00000	7.38317	5.45980	16.09417	6.23289	Julia Brown
4739	widowed	yes	24.54087	29.70277	7.53532	5.53501	8.65323	38.08584	51.62882	032-48-2887	6.23410	1.00000	5.93118	5.57950	5.22619	7.25572	Cathy Garcia
4740	widowed	no	82.10521	49.00539	7.90642	7.27642	6.50820	44.47128	45.40384	687-23-0894	6.65717	1.00000	7.60405	7.93680	7.10882	5.37411	Fernando Martin
4741	single	yes	39.03852	79.18281	7.77049	3.87766	8.19246	48.06618	77.70554	505-79-0778	5.73410	1.00000	6.92798	5.23463	4.88429	5.55258	Sharon Lyons
4742	married	no	92.98740	78.11259	7.88086	2.83829	6.84764	56.91413	59.90992	326-04-3138	3.88103	1.00000	6.93779	6.49447	6.70309	4.93571	Jerry Alvarez
4743	divoced	Y	80.64073	-4.79250	7.05424	7.01495	5.62375	35.98988	39.69445	523-52-8390	7.21629	1.00000	6.80376	4.91100	10.53564	5.05449	Brent Tyler
4744	nop	yes	83.76548	65.26572	5.75202	4.64758	5.98494	31.55191	58.18460	833-04-8505	7.66018	0.00000	4.57774	5.57907	12.02465	5.27330	John Turner
4745	nop	Y	82.23183	65.09608	6.72554	4.07367	6.75201	45.54273	75.85987	080-10-9089	6.73171	0.00000	7.11898	6.72641	6.73315	6.55063	Curtis Clark
4746	divoced	N	54.46569	101.23213	8.17443	7.27486	4.90369	66.76358	46.47834	255-30-3470	7.18768	1.00000		7.28117	9.78986	6.08357	Joshua Wright
4747	divoced	no	32.93640	90.57534	7.40817	6.52337	8.17677	62.76691	24.41687	284-77-7959	5.90943	0.00000	6.14508	7.17176	4.84908	4.31559	Matthew Morales
4748	married	no	21.72818	124.01408	8.10860	5.05627	8.50394	68.20974	53.14593	659-78-2287	9.28770	0.00000	7.26250	4.49265	37.28433	6.67252	Taylor Stout
4749	single	yes	69.09047	131.95894	7.98452	7.98489	5.26964	61.25727	31.59945	689-95-1877	7.26196	1.00000	6.77962	5.04434	7.86312	7.41873	Sarah Mueller
4750	married	no	81.02732	53.23840	6.85417	3.29993	6.94547	28.89575	30.81035	157-83-7555	7.77936	1.00000	7.03369	5.73182	10.79239	8.68866	Kimberly Dorsey
4751	married	N	23.00361	62.16032	8.56813	6.05772	8.78856	44.82604	41.76050	065-63-8559	8.09996	0.00000	5.76222	6.57365	11.33893	5.10084	Stephen Coffey
4752	widowed	no	77.71462	96.73755	7.31321	2.81326	7.08692	54.07934	46.17868	803-93-0432	5.96441	0.00000	4.59324	6.95512	6.45523	5.87220	Joseph Petersen
4753	divoced	no	12.92769	58.12314	7.70703	4.22289	10.11465	64.22619	49.99103	355-19-1544	8.37407	1.00000	5.04370	7.88006	18.52133	3.00741	Samuel Sandoval
4754	nop	no	89.74149	98.14561	6.91673	5.54788	6.39510	65.85409	46.49743	435-28-8469	5.45172	0.00000	7.20803	5.37289	4.00968	4.94557	Brian Stephens
4755	single	no	76.72849	70.70374	7.33038	6.11148	5.58800	48.61833	57.92074	635-99-2238	2.56867	1.00000	7.08879	6.41754	3.39108	4.84560	Mandy Jenkins
4756	divoced	no	20.35170	8.06047	6.88230	4.70466	3.69736	68.68275	58.40530	061-84-9017	6.16580	0.00000	6.02522	4.27522	5.91859	5.39537	Jaime Craig
4757	widowed	yes	50.43091	167.43134	5.99525	4.97060	4.71113	63.50169	26.52665	529-77-4569	2.67381	1.00000	6.10424	6.55180	4.49632	5.90330	Mary Moyer
4758	separated	yes	13.28359	63.53533	8.85037	3.70938	8.62401	27.58340	36.81235	685-78-3375	7.13782	0.00000	5.60758	6.26288	11.11913	6.00949	Chelsea Cooke
4759	married	no	84.18546	42.05242	6.07832	4.02325	6.18179	37.62906	26.48756	299-52-2149	6.70133	0.00000	5.83783	6.44318	8.22988	4.93102	Kathy Gutierrez
4760	divoced	no	80.54538	124.32555	7.57613	5.48224	6.98152	66.07513	39.07071	552-70-9541	4.31313	1.00000	5.97260	6.09935	7.21723	6.07164	Jack White
4761	married	yes	85.87317	61.06322	6.41459	4.38994	6.69149	42.30686	40.76653	555-47-8840	7.56201	0.00000	4.81241	6.39498	11.63449	8.16899	Maria Williams
4762	married	Y	42.31944	36.32225	10.80896	5.59774	1.63072	28.35072	46.22483	811-23-1517	4.63768	0.00000	5.57125	7.46439	6.89310	6.63877	Ashley Lewis
4763	single	no	43.10974	84.26386	7.97955	6.25389	4.70758	51.19102	37.98270	027-41-0633	3.50959	0.00000	8.55713	6.38466	5.46416	5.32837	Brittany Peck
4764	married	yes	81.17908	42.67576	6.80003	4.88983	6.87605	60.03468	49.46065	406-25-5422	7.73317	0.00000	7.14405	5.18013	10.64293	9.82993	Christopher Bailey
4765	single	yes	84.40649	68.86433	5.85597	4.30525	5.49507	53.63315	32.52075	610-95-2843	3.34137	1.00000	5.96543	6.87946	6.07728	6.21733	Stacey Roberson
4766	divoced	yes	66.13891	31.90815	6.93231	6.91489	5.24169	36.16786	66.58369	864-20-7090	7.38948	1.00000	6.07882	6.68015	8.41399	5.66592	Madison Wu
4767	divoced	no	90.27790	86.86503	6.60493	5.20354	6.37715	66.53827	51.92563	855-04-7977	6.34313	0.00000	3.87122	5.57821	7.08940	6.87094	Hector Rogers
4768	married	no	24.66225	55.20488	9.55011	9.22204	3.86432	57.92365	42.17031	868-49-6246	7.09142	1.00000	5.40037	6.21293	7.34742	6.25968	Vincent Ball
4769	married	N	69.90408	88.65297	5.41942	6.77557	5.21235	51.96056	59.06964	187-15-4138	7.87817	1.00000	6.43790	5.55146	11.95440	7.06625	Brandon Hunt
4770	divoced	yes	55.82048	55.64933	7.15387	5.20304	7.74368	60.24652	46.43103	844-74-6351	5.93746	1.00000	5.48077	5.48625	5.11812	6.24892	Mike Bennett
4771	separated	no	84.07778	78.34870	5.26456	4.96504	5.76951	48.53598	46.57901	484-63-6022	7.03125	0.00000	5.83194	5.79055	13.39241	6.41340	Michael Stevens
4772	single	Y	31.81975	67.26589	6.52843	5.73681	4.61084	55.77376	42.39192	811-23-1517	4.33512	0.00000	6.00186	7.59301	4.26539	6.16476	Ashley Lewis
