,relationship,smoker,alp,weight,trombocyty,hematokrit,hemoglobin,er-cv,ast,ssn,erytrocyty,indicator,hbver,leukocyty,alt,etytr,name,residence,blood_group,birthdate,address,race,job,sex
5285,married,yes,20.21792,9.26288,6.68248,7.41859,2.41266,42.82927,65.40353,155-99-7936,8.20933,1.0,5.58678,4.62004,12.54366,7.96634,Paul Bryant,"USNV Drake
FPO AP 99320",A+,2019-04-20,"496 Mahoney Plain
Mossmouth, TN 95871",White,"Solicitor, Scotland",M
5286,single,no,83.163,139.73689,6.60919,5.98165,5.87855,58.21029,50.53585,155-99-7936,7.19395,1.0,6.52419,6.66329,8.96364,7.4069,Paul Bryant,"USNV Drake
FPO AP 99320",A+,2019-04-20,"496 Mahoney Plain
Mossmouth, TN 95871",White,"Solicitor, Scotland",M
5287,widowed,no,59.18498,77.78538,4.19784,6.47595,4.86165,75.79203,59.67959,155-99-7936,4.4216,0.0,6.39706,6.24082,3.45804,6.98878,Paul Bryant,"USNV Drake
FPO AP 99320",A+,2019-04-20,"496 Mahoney Plain
Mossmouth, TN 95871",White,"Solicitor, Scotland",M
5288,widowed,no,60.91096,83.23908,6.18805,4.53724,5.04874,66.68708,65.60504,354-23-1874,2.89526,1.0,5.1067,7.68376,4.5401,4.97913,Rebecca Hutchinson,"5485 Huff Locks
Jeffreyland, ID 78043",AB+,1947-12-01,"80459 Cole Islands
South Donaldfurt, MT 67393",Black,Telecommunications researcher,F
5289,single,no,74.16429,61.94386,7.28192,7.22123,5.55182,42.2205,37.46875,354-23-1874,7.06349,1.0,5.03995,5.08236,10.11958,7.70338,Rebecca Hutchinson,"5485 Huff Locks
Jeffreyland, ID 78043",AB+,1947-12-01,"80459 Cole Islands
South Donaldfurt, MT 67393",Black,Telecommunications researcher,F
5290,divorced,no,59.64982,70.45167,7.16952,3.99415,7.50373,66.79863,42.68245,354-23-1874,5.36898,1.0,5.10787,5.99906,6.50332,7.07543,Rebecca Hutchinson,"5485 Huff Locks
Jeffreyland, ID 78043",AB+,1947-12-01,"80459 Cole Islands
South Donaldfurt, MT 67393",Black,Telecommunications researcher,F
5291,single,yes,79.61827,63.06776,7.87192,5.88008,5.78252,39.3293,43.27178,354-23-1874,2.54191,1.0,6.2969,6.2136,7.66175,5.74059,Rebecca Hutchinson,"5485 Huff Locks
Jeffreyland, ID 78043",AB+,1947-12-01,"80459 Cole Islands
South Donaldfurt, MT 67393",Black,Telecommunications researcher,F
5292,divorced,no,17.23451,51.596,7.16894,7.77695,3.77452,41.78855,32.67868,139-11-6917,7.76989,1.0,6.80385,5.3351,10.79592,8.23186,Jennifer Moore,"1055 Hess Locks
North Abigail, CA 63779",B-,2005-08-25,"Unit 6842 Box 9006
DPO AE 80029",White,"Scientist, water quality",F
5293,married,no,73.35759,55.01737,8.04982,4.84501,7.23133,59.33133,55.57551,139-11-6917,4.2178,1.0,6.41942,6.94968,4.10195,4.3877,Jennifer Moore,"1055 Hess Locks
North Abigail, CA 63779",B-,2005-08-25,"Unit 6842 Box 9006
DPO AE 80029",White,"Scientist, water quality",F
5294,divorced,yes,42.08363,109.50074,6.75883,7.09485,8.21357,54.11923,43.08378,139-11-6917,6.59047,1.0,5.13123,6.02073,8.01178,7.16894,Jennifer Moore,"1055 Hess Locks
North Abigail, CA 63779",B-,2005-08-25,"Unit 6842 Box 9006
DPO AE 80029",White,"Scientist, water quality",F
5295,married,no,6.21615,19.5447,7.59469,5.05613,3.46387,60.22934,75.20191,267-81-0040,5.63928,0.0,6.60005,4.97684,6.73915,6.99575,Kelsey Wilson,"2503 Brown Mall Suite 351
East Rickey, ND 98374",B-,1967-02-25,"3665 Alexander Pines
Youngborough, AK 92063",White,Television floor manager,F
5296,married,yes,73.99961,130.53677,7.42379,3.98564,6.92038,40.88272,23.77922,267-81-0040,6.24146,0.0,6.50379,4.77531,7.14224,5.48151,Kelsey Wilson,"2503 Brown Mall Suite 351
East Rickey, ND 98374",B-,1967-02-25,"3665 Alexander Pines
Youngborough, AK 92063",White,Television floor manager,F
5297,divorced,no,30.42029,67.12123,7.95671,7.11639,8.30582,34.7678,45.95435,267-81-0040,8.6673,0.0,6.30757,5.91299,19.06371,6.74235,Kelsey Wilson,"2503 Brown Mall Suite 351
East Rickey, ND 98374",B-,1967-02-25,"3665 Alexander Pines
Youngborough, AK 92063",White,Television floor manager,F
5298,single,yes,79.72401,68.00759,7.19213,4.83342,5.84233,61.6726,32.04645,688-60-3219,3.06996,1.0,5.4511,5.5285,5.5019,4.12275,Randy Mitchell,"84935 Johnston Inlet Apt. 073
North Frank, CA 49433",O-,1947-01-11,"494 Mullins River
Harveyborough, MN 97379",Indian,Chief Strategy Officer,M
5299,married,yes,17.42354,64.61111,9.07196,5.42136,8.51292,40.81588,52.9056,688-60-3219,6.30713,0.0,7.14755,5.38878,4.36765,3.60543,Randy Mitchell,"84935 Johnston Inlet Apt. 073
North Frank, CA 49433",O-,1947-01-11,"494 Mullins River
Harveyborough, MN 97379",Indian,Chief Strategy Officer,M
5300,married,no,68.95165,85.15605,7.40755,7.65231,5.4578,51.83597,47.36307,688-60-3219,7.12924,1.0,7.25636,5.95037,7.84699,6.03439,Randy Mitchell,"84935 Johnston Inlet Apt. 073
North Frank, CA 49433",O-,1947-01-11,"494 Mullins River
Harveyborough, MN 97379",Indian,Chief Strategy Officer,M
5301,divorced,no,24.7867,74.49499,6.03593,7.25103,4.15195,49.91332,46.56399,688-60-3219,8.15263,1.0,6.00125,5.96073,15.13007,9.03933,Randy Mitchell,"84935 Johnston Inlet Apt. 073
North Frank, CA 49433",O-,1947-01-11,"494 Mullins River
Harveyborough, MN 97379",Indian,Chief Strategy Officer,M
5302,divorced,yes,83.07297,119.98412,5.04446,6.86096,5.83855,69.03478,61.71978,023-18-8679,7.47336,1.0,7.60029,6.58273,9.17065,7.51889,Maria Allen,"3900 Dale Springs Suite 658
Sarahport, AL 04502",A+,1947-08-18,"03324 Kelsey Orchard
West Brittneyfurt, MO 11884",Asian,Amenity horticulturist,F
5303,married,yes,32.94636,110.62037,7.17238,7.06136,4.22161,63.28072,45.19648,023-18-8679,7.66363,1.0,4.34662,6.09175,12.4035,5.44185,Maria Allen,"3900 Dale Springs Suite 658
Sarahport, AL 04502",A+,1947-08-18,"03324 Kelsey Orchard
West Brittneyfurt, MO 11884",Asian,Amenity horticulturist,F
5304,single,no,85.59993,19.2224,7.75429,4.26643,6.89435,46.80784,35.39203,023-18-8679,4.2718,1.0,5.9457,6.03719,6.22075,5.59129,Maria Allen,"3900 Dale Springs Suite 658
Sarahport, AL 04502",A+,1947-08-18,"03324 Kelsey Orchard
West Brittneyfurt, MO 11884",Asian,Amenity horticulturist,F
5305,single,no,83.85195,100.52387,7.20227,6.12108,6.51174,52.49065,11.68299,139-75-5380,3.98093,1.0,5.80411,6.09114,3.25586,6.4696,Deborah Camacho,"71527 Angela Mall
Turnerhaven, FL 12367",A-,1957-04-13,"060 Foster Flats
East Sara, AZ 73193",Asian,"Pilot, airline",F
5306,divorced,no,28.58623,133.46973,8.26226,8.10481,4.22091,55.84361,51.89829,139-75-5380,7.34141,1.0,7.65847,5.81617,8.38991,6.24038,Deborah Camacho,"71527 Angela Mall
Turnerhaven, FL 12367",A-,1957-04-13,"060 Foster Flats
East Sara, AZ 73193",Asian,"Pilot, airline",F
5307,married,no,73.49936,70.6697,6.92362,5.53594,5.45853,67.7699,45.78234,139-75-5380,4.12189,0.0,5.43586,5.19072,5.82298,5.74097,Deborah Camacho,"71527 Angela Mall
Turnerhaven, FL 12367",A-,1957-04-13,"060 Foster Flats
East Sara, AZ 73193",Asian,"Pilot, airline",F
5308,widowed,no,10.25619,91.89724,6.18723,7.39303,3.69995,73.06823,56.34334,139-75-5380,8.28972,1.0,4.937,5.58384,17.49253,5.08717,Deborah Camacho,"71527 Angela Mall
Turnerhaven, FL 12367",A-,1957-04-13,"060 Foster Flats
East Sara, AZ 73193",Asian,"Pilot, airline",F
5309,married,no,77.67583,117.03557,8.11718,2.96481,7.14328,47.78294,49.26872,153-31-6842,4.2469,1.0,5.37366,5.9866,4.55456,6.76223,Katherine Wilson,"6909 Jose Drive Apt. 454
Port Nancyville, OK 83753",AB+,1945-06-20,"59731 Craig Fords
Dickersonchester, LA 67680",White,Herbalist,F
5310,married,no,79.2978,133.26915,9.12472,7.37143,6.73886,76.89076,33.33492,153-31-6842,6.07836,1.0,3.19024,6.38076,4.80346,7.20253,Katherine Wilson,"6909 Jose Drive Apt. 454
Port Nancyville, OK 83753",AB+,1945-06-20,"59731 Craig Fords
Dickersonchester, LA 67680",White,Herbalist,F
5311,nop,no,84.38713,82.77402,7.00393,7.11964,6.47013,64.35734,45.41533,153-31-6842,6.85291,1.0,6.48608,4.88625,6.9334,6.33982,Katherine Wilson,"6909 Jose Drive Apt. 454
Port Nancyville, OK 83753",AB+,1945-06-20,"59731 Craig Fords
Dickersonchester, LA 67680",White,Herbalist,F
5312,married,no,54.25607,82.53233,6.5357,7.35298,4.91342,75.50442,37.69081,028-66-0246,7.48533,1.0,7.09124,5.67688,7.64219,6.5507,Lisa Barry,"0456 Sloan Plaza
Lauriehaven, VA 01817",B-,1935-02-07,"1574 Brooke Neck Apt. 329
West Joyburgh, VT 77678",Black,"Engineer, broadcasting (operations)",F
5313,divorced,no,44.86571,62.41792,7.64333,4.40261,7.91491,62.06008,44.93343,028-66-0246,7.96833,0.0,5.98556,5.80248,12.44067,6.21934,Lisa Barry,"0456 Sloan Plaza
Lauriehaven, VA 01817",B-,1935-02-07,"1574 Brooke Neck Apt. 329
West Joyburgh, VT 77678",Black,"Engineer, broadcasting (operations)",F
5314,single,no,73.05211,122.28397,7.43789,3.24672,7.10543,44.28642,55.41117,028-66-0246,4.45208,1.0,5.62308,6.38769,3.98722,6.22002,Lisa Barry,"0456 Sloan Plaza
Lauriehaven, VA 01817",B-,1935-02-07,"1574 Brooke Neck Apt. 329
West Joyburgh, VT 77678",Black,"Engineer, broadcasting (operations)",F
5315,separated,no,14.48627,11.4672,6.07642,7.0483,3.82963,51.53838,35.12669,264-98-8733,7.93574,1.0,6.49938,6.34078,12.12899,7.11109,Chelsea Carpenter,"917 Robin Pines Suite 328
North Daniellemouth, CA 75211",O+,1911-09-12,"627 George Mountains Apt. 002
Robinsonfurt, NV 98753",White,Broadcast presenter,F
5316,widowed,no,57.49993,74.6544,5.78295,4.74188,4.97637,44.50579,19.26194,264-98-8733,5.70518,0.0,7.83237,6.2866,7.37547,6.06909,Chelsea Carpenter,"917 Robin Pines Suite 328
North Daniellemouth, CA 75211",O+,1911-09-12,"627 George Mountains Apt. 002
Robinsonfurt, NV 98753",White,Broadcast presenter,F
5317,married,yes,85.48393,66.77776,5.82988,6.15105,6.63514,78.80665,42.19024,264-98-8733,4.93487,1.0,6.0908,6.36488,6.62869,7.46962,Chelsea Carpenter,"917 Robin Pines Suite 328
North Daniellemouth, CA 75211",O+,1911-09-12,"627 George Mountains Apt. 002
Robinsonfurt, NV 98753",White,Broadcast presenter,F
5318,divorced,no,77.56388,60.94201,6.08579,5.70096,6.91739,47.2578,81.24765,742-40-2108,3.25526,1.0,4.61719,6.16714,5.00341,6.91385,David Howe,"Unit 6300 Box 4349
DPO AP 98572",O+,1937-08-29,"664 Choi Fields
Port Alexanderberg, ID 77393",White,Primary school teacher,M
5319,married,yes,89.38643,55.46523,6.82444,7.40686,6.03554,44.4714,55.95145,742-40-2108,3.73669,1.0,8.04306,6.62818,6.71237,4.68728,David Howe,"Unit 6300 Box 4349
DPO AP 98572",O+,1937-08-29,"664 Choi Fields
Port Alexanderberg, ID 77393",White,Primary school teacher,M
5320,divorced,yes,81.41411,43.91403,8.37147,8.07408,6.54178,63.72938,70.02735,742-40-2108,6.52209,1.0,5.53318,6.25498,7.57404,5.81424,David Howe,"Unit 6300 Box 4349
DPO AP 98572",O+,1937-08-29,"664 Choi Fields
Port Alexanderberg, ID 77393",White,Primary school teacher,M
5321,nop,yes,89.98291,26.43931,6.93861,6.65702,6.59717,32.39253,36.9361,412-23-8570,4.31039,1.0,6.29606,4.84048,6.52965,5.57147,Paige Jacobs,"942 Matthew Burgs Suite 459
North Williefurt, MT 96434",B-,2001-04-01,"128 Valentine Island
Andreburgh, WA 04859",Black,Town planner,F
5322,single,no,3.80774,41.63818,8.13277,4.6088,9.23486,63.69123,71.83955,412-23-8570,6.51371,1.0,6.32511,6.83397,7.23533,7.6274,Paige Jacobs,"942 Matthew Burgs Suite 459
North Williefurt, MT 96434",B-,2001-04-01,"128 Valentine Island
Andreburgh, WA 04859",Black,Town planner,F
5323,married,no,82.25232,66.03646,6.7069,5.61537,6.45045,60.21773,16.0224,412-23-8570,5.95981,0.0,3.94555,6.24355,6.65265,7.95363,Paige Jacobs,"942 Matthew Burgs Suite 459
North Williefurt, MT 96434",B-,2001-04-01,"128 Valentine Island
Andreburgh, WA 04859",Black,Town planner,F
5324,nop,no,50.76217,66.22627,7.46331,3.66836,7.88143,50.68686,37.68608,065-90-1144,5.67828,1.0,6.74676,6.07728,5.34942,5.41923,Anthony Chapman,"PSC 9827, Box 9654
APO AP 68768",O-,1926-03-23,"68353 Robinson Corner
South Steven, IN 48698",Asian,"Nurse, learning disability",M
5325,separated,no,86.22341,116.44948,6.97485,6.14386,5.95333,38.73463,47.96995,065-90-1144,3.35266,1.0,4.49424,5.38419,3.88664,5.98773,Anthony Chapman,"PSC 9827, Box 9654
APO AP 68768",O-,1926-03-23,"68353 Robinson Corner
South Steven, IN 48698",Asian,"Nurse, learning disability",M
5326,divorced,no,48.50582,76.16978,7.55325,6.06888,7.6709,37.48556,36.63418,065-90-1144,4.86851,1.0,5.10167,7.73503,7.07656,6.95108,Anthony Chapman,"PSC 9827, Box 9654
APO AP 68768",O-,1926-03-23,"68353 Robinson Corner
South Steven, IN 48698",Asian,"Nurse, learning disability",M
5327,nop,yes,82.74321,39.78108,6.1554,6.12389,6.82136,19.0954,57.64857,065-90-1144,7.00124,1.0,5.22963,5.84683,6.71179,5.93844,Anthony Chapman,"PSC 9827, Box 9654
APO AP 68768",O-,1926-03-23,"68353 Robinson Corner
South Steven, IN 48698",Asian,"Nurse, learning disability",M
5328,married,no,49.57356,64.99126,9.53965,3.47639,4.64739,47.56549,42.98378,717-63-8076,5.73386,0.0,8.38017,4.57245,7.09564,5.90954,Brian Mcclain,"0261 Jenkins Center Apt. 816
Christinaburgh, DE 01439",A+,1907-01-23,"52113 Smith Courts Suite 856
Lake Amy, FL 12353",Black,"Administrator, education",M
5329,divorced,no,15.48698,17.385,7.57714,3.95489,9.24751,67.53668,59.04749,717-63-8076,7.22341,1.0,3.18177,6.8986,8.40203,4.51575,Brian Mcclain,"0261 Jenkins Center Apt. 816
Christinaburgh, DE 01439",A+,1907-01-23,"52113 Smith Courts Suite 856
Lake Amy, FL 12353",Black,"Administrator, education",M
5330,married,no,72.29333,116.13477,7.07878,7.63677,5.41104,55.91494,55.36148,717-63-8076,7.25691,1.0,6.20325,5.3333,8.92533,4.92772,Brian Mcclain,"0261 Jenkins Center Apt. 816
Christinaburgh, DE 01439",A+,1907-01-23,"52113 Smith Courts Suite 856
Lake Amy, FL 12353",Black,"Administrator, education",M
5331,nop,no,54.39517,91.40572,6.86349,1.94305,4.80548,65.8961,41.79819,641-10-5019,8.66159,0.0,6.19426,5.70143,22.3657,4.19895,Melissa Byrd MD,"81923 Lewis Forge
Huntertown, MT 36675",AB+,1935-03-12,"11974 Cowan Valley Suite 458
Jonesbury, AK 37987",White,Physiological scientist,F
5332,widowed,no,8.67143,52.88037,6.54211,6.6013,3.58904,40.67147,45.2487,641-10-5019,7.86805,1.0,6.80665,7.02808,13.88976,5.17837,Melissa Byrd MD,"81923 Lewis Forge
Huntertown, MT 36675",AB+,1935-03-12,"11974 Cowan Valley Suite 458
Jonesbury, AK 37987",White,Physiological scientist,F
5333,married,no,62.8048,84.47274,7.03815,4.16075,7.59429,70.92785,47.07476,641-10-5019,5.42947,1.0,6.27309,8.26018,5.32628,5.83866,Melissa Byrd MD,"81923 Lewis Forge
Huntertown, MT 36675",AB+,1935-03-12,"11974 Cowan Valley Suite 458
Jonesbury, AK 37987",White,Physiological scientist,F
5334,single,yes,7.75096,55.89405,7.17221,7.23286,3.45603,41.96893,53.12083,386-12-3707,7.81051,1.0,7.36499,7.51492,14.69488,6.30679,Jeffrey Wolf,"USS Frye
FPO AP 92132",A+,1973-07-26,"76071 Todd Manor
Nguyenbury, MI 80371",White,Pathologist,M
5335,married,no,22.10972,50.99563,8.64875,5.23481,10.12217,62.40805,36.87482,386-12-3707,7.42907,1.0,6.08041,5.07707,7.51611,5.65854,Jeffrey Wolf,"USS Frye
FPO AP 92132",A+,1973-07-26,"76071 Todd Manor
Nguyenbury, MI 80371",White,Pathologist,M
5336,married,no,26.92203,23.59664,8.94343,3.59225,4.06609,57.99877,41.12812,386-12-3707,6.38757,0.0,6.20426,3.62447,8.78049,5.93457,Jeffrey Wolf,"USS Frye
FPO AP 92132",A+,1973-07-26,"76071 Todd Manor
Nguyenbury, MI 80371",White,Pathologist,M
5337,widowed,no,58.88254,44.30253,7.77468,3.80278,7.56854,63.42737,39.08668,507-64-9559,6.49445,0.0,6.18598,7.50142,7.82808,7.00818,Pamela Caldwell,"4107 Preston Brooks Apt. 849
East Shannonport, KY 89299",O+,1999-03-13,"60700 Cameron Extensions
Adkinshaven, OK 03439",Black,Geophysicist/field seismologist,F
5338,widowed,no,88.44627,102.18947,7.31745,3.49611,6.30915,33.51284,46.23462,507-64-9559,3.45429,1.0,5.60088,5.8106,8.20431,7.1897,Pamela Caldwell,"4107 Preston Brooks Apt. 849
East Shannonport, KY 89299",O+,1999-03-13,"60700 Cameron Extensions
Adkinshaven, OK 03439",Black,Geophysicist/field seismologist,F
5339,single,no,31.2216,54.08697,7.41028,8.10161,4.60776,38.09761,68.5488,507-64-9559,7.41884,1.0,6.80422,5.90319,7.22467,6.69196,Pamela Caldwell,"4107 Preston Brooks Apt. 849
East Shannonport, KY 89299",O+,1999-03-13,"60700 Cameron Extensions
Adkinshaven, OK 03439",Black,Geophysicist/field seismologist,F
5340,separated,no,61.47614,58.15354,7.00052,3.42857,7.46939,39.74547,60.50051,168-70-4421,5.28073,1.0,8.45231,7.11908,5.86777,7.72993,Stephanie Owens,"276 Christopher Hollow Apt. 190
Rodgersborough, OH 87076",A+,1972-07-09,"8133 Whitney Locks
East Kimland, MI 70205",White,Minerals surveyor,F
5341,divorced,no,83.62688,36.14437,7.21892,7.87451,5.80012,33.40208,32.43969,168-70-4421,7.03172,1.0,6.42297,5.40126,9.80162,6.5684,Stephanie Owens,"276 Christopher Hollow Apt. 190
Rodgersborough, OH 87076",A+,1972-07-09,"8133 Whitney Locks
East Kimland, MI 70205",White,Minerals surveyor,F
5342,married,yes,80.78395,100.46773,8.00828,7.33485,5.45661,60.80087,34.55085,168-70-4421,6.85494,1.0,5.55239,6.67503,5.73062,5.86596,Stephanie Owens,"276 Christopher Hollow Apt. 190
Rodgersborough, OH 87076",A+,1972-07-09,"8133 Whitney Locks
East Kimland, MI 70205",White,Minerals surveyor,F
5343,divorced,no,71.16448,79.56707,8.41937,8.88749,5.45322,59.94676,47.99068,257-95-9496,6.79484,1.0,4.62343,6.25658,7.93611,6.21152,Tiffany Foster,"PSC 8584, Box 0500
APO AE 30532",B-,2000-01-13,"4674 Danielle Summit
Deborahfurt, OK 46819",White,Physiotherapist,F
5344,married,no,76.4441,79.02317,8.30365,6.63954,5.70864,72.90897,52.466,257-95-9496,2.28122,0.0,6.63074,3.89261,0.0,6.14019,Tiffany Foster,"PSC 8584, Box 0500
APO AE 30532",B-,2000-01-13,"4674 Danielle Summit
Deborahfurt, OK 46819",White,Physiotherapist,F
5345,married,no,88.21527,12.26051,6.5375,4.45686,6.7388,39.94554,36.21658,257-95-9496,7.28671,0.0,7.55851,5.79306,7.93579,5.04174,Tiffany Foster,"PSC 8584, Box 0500
APO AE 30532",B-,2000-01-13,"4674 Danielle Summit
Deborahfurt, OK 46819",White,Physiotherapist,F
5346,married,no,75.50867,130.72348,6.34772,5.3451,6.84809,53.97723,30.41691,313-56-0381,8.58911,0.0,5.63649,6.86249,19.76824,6.48233,Michael Brown,"27014 Rice Trail Suite 957
Albertshire, NY 49432",O+,1923-02-26,"801 Oneill Ports
New Karen, RI 91690",Black,Chartered loss adjuster,M
5347,single,yes,80.63995,88.27898,8.23114,7.3889,5.67554,54.05424,47.28983,313-56-0381,6.77769,1.0,5.84832,6.05921,5.29437,6.66815,Michael Brown,"27014 Rice Trail Suite 957
Albertshire, NY 49432",O+,1923-02-26,"801 Oneill Ports
New Karen, RI 91690",Black,Chartered loss adjuster,M
5348,married,no,54.4963,116.22949,6.87031,6.54568,5.09489,70.43848,45.00474,313-56-0381,7.36511,1.0,5.81064,7.19429,10.00433,5.76127,Michael Brown,"27014 Rice Trail Suite 957
Albertshire, NY 49432",O+,1923-02-26,"801 Oneill Ports
New Karen, RI 91690",Black,Chartered loss adjuster,M
5349,nop,no,88.93383,96.75633,6.23581,5.80331,6.69315,44.91862,25.27069,389-21-1000,7.4519,0.0,4.75793,6.22166,10.4635,4.95221,Jo Wyatt,"7951 Simmons Mills Apt. 497
Reevesville, IL 11107",O-,1905-11-17,"054 Jeremy Orchard
South Donaldside, MT 00682",Asian,Personal assistant,F
5350,married,no,46.19819,91.9282,5.89706,5.37061,4.7124,69.90568,40.95032,389-21-1000,2.66749,0.0,5.69053,7.16808,4.73212,6.40822,Jo Wyatt,"7951 Simmons Mills Apt. 497
Reevesville, IL 11107",O-,1905-11-17,"054 Jeremy Orchard
South Donaldside, MT 00682",Asian,Personal assistant,F
5351,divorced,no,63.74589,52.31626,8.23734,5.24474,7.40279,47.69618,42.29548,389-21-1000,4.15961,1.0,8.38736,6.23127,7.71378,6.14692,Jo Wyatt,"7951 Simmons Mills Apt. 497
Reevesville, IL 11107",O-,1905-11-17,"054 Jeremy Orchard
South Donaldside, MT 00682",Asian,Personal assistant,F
5352,married,yes,10.95244,36.111,5.92787,6.88088,3.10892,76.36267,36.4616,044-11-7577,8.45886,1.0,6.77418,7.03409,18.82628,5.38443,Janet Rose,"14903 Michael Cliff Apt. 590
Connorchester, WI 36861",A-,2018-03-08,"2382 Gabriela Corners Apt. 328
Mauricestad, GA 76612",Black,Theme park manager,F
5353,widowed,no,28.07858,103.60484,8.7272,5.52111,8.53675,34.78649,46.5426,044-11-7577,6.34084,0.0,5.5588,5.81452,7.79671,4.02901,Janet Rose,"14903 Michael Cliff Apt. 590
Connorchester, WI 36861",A-,2018-03-08,"2382 Gabriela Corners Apt. 328
Mauricestad, GA 76612",Black,Theme park manager,F
5354,divorced,no,50.40158,50.47176,10.48146,8.10209,4.6378,26.36896,62.45801,044-11-7577,6.56643,1.0,6.53514,6.06592,6.35781,5.95817,Janet Rose,"14903 Michael Cliff Apt. 590
Connorchester, WI 36861",A-,2018-03-08,"2382 Gabriela Corners Apt. 328
Mauricestad, GA 76612",Black,Theme park manager,F
5355,single,yes,44.37507,107.8806,5.45216,6.92166,4.65567,62.75054,33.61449,097-82-6068,8.10212,1.0,7.01689,8.58967,12.6463,7.33651,Angelica Washington,"740 Cline Junctions
Josephtown, MT 58513",AB-,1962-05-10,"3286 Kaiser Forges
New Michael, PA 53298",Asian,"Conservation officer, historic buildings",F
5356,single,no,50.30002,48.13976,6.20028,6.83151,4.88055,24.66534,54.72118,097-82-6068,7.37607,1.0,5.3772,7.41597,9.53309,6.23983,Angelica Washington,"740 Cline Junctions
Josephtown, MT 58513",AB-,1962-05-10,"3286 Kaiser Forges
New Michael, PA 53298",Asian,"Conservation officer, historic buildings",F
5357,single,no,33.14184,107.33439,5.45258,6.89896,4.4743,58.66654,62.02642,097-82-6068,8.33353,1.0,6.76618,4.92448,17.04743,5.56991,Angelica Washington,"740 Cline Junctions
Josephtown, MT 58513",AB-,1962-05-10,"3286 Kaiser Forges
New Michael, PA 53298",Asian,"Conservation officer, historic buildings",F
5358,divorced,yes,43.2129,78.30917,8.4871,8.03685,4.56577,57.6051,54.82181,815-03-9511,7.151,1.0,5.90702,6.33627,7.56883,6.02446,James Castillo,"5895 Nicholas Way
North Angelamouth, AK 76545",B-,1981-07-27,"1794 Matthews Radial
South Heatherview, UT 37990",Asian,"Accountant, chartered certified",M
5359,married,no,29.29161,57.54813,7.57279,5.7247,4.05211,87.21854,31.56032,815-03-9511,4.63127,0.0,6.36795,8.71628,4.43418,6.09803,James Castillo,"5895 Nicholas Way
North Angelamouth, AK 76545",B-,1981-07-27,"1794 Matthews Radial
South Heatherview, UT 37990",Asian,"Accountant, chartered certified",M
5360,divorced,no,86.7039,41.97956,6.01439,4.84032,6.50917,46.32539,40.93329,815-03-9511,7.62529,0.0,4.88542,5.81022,12.02606,5.84334,James Castillo,"5895 Nicholas Way
North Angelamouth, AK 76545",B-,1981-07-27,"1794 Matthews Radial
South Heatherview, UT 37990",Asian,"Accountant, chartered certified",M
5361,married,no,62.04657,29.94937,5.45806,6.496,5.02757,54.73042,43.93353,715-38-4993,7.73579,1.0,6.20529,6.26599,9.56914,7.17555,Mark Price,"385 Jimenez Path
Bobbyburgh, KY 54355",AB-,1957-03-22,"2209 Megan Turnpike
Brandonbury, NM 88535",Black,Arboriculturist,M
5362,single,no,30.12763,36.45204,6.70056,8.16386,1.91354,59.44555,81.24239,715-38-4993,8.69581,1.0,4.73655,5.33048,20.63088,6.54136,Mark Price,"385 Jimenez Path
Bobbyburgh, KY 54355",AB-,1957-03-22,"2209 Megan Turnpike
Brandonbury, NM 88535",Black,Arboriculturist,M
5363,single,no,82.71741,42.49431,6.44126,5.57173,5.67992,41.14529,33.24788,715-38-4993,4.22785,0.0,5.25699,7.87569,5.80802,6.72277,Mark Price,"385 Jimenez Path
Bobbyburgh, KY 54355",AB-,1957-03-22,"2209 Megan Turnpike
Brandonbury, NM 88535",Black,Arboriculturist,M
5364,separated,no,83.49532,92.0778,7.84039,7.48309,5.84777,57.06233,24.57014,606-32-2327,2.54563,1.0,5.76748,6.72446,3.5216,6.38855,Dana Wallace,"725 Jo Isle Apt. 300
New Loganton, ID 84447",AB+,1934-12-28,"803 Barbara Curve
Erinfurt, CT 67731",White,Actuary,F
5365,nop,no,45.29024,115.57574,8.09059,2.70488,8.08053,60.55536,38.98738,606-32-2327,5.25693,1.0,6.46012,5.85475,6.00177,8.04396,Dana Wallace,"725 Jo Isle Apt. 300
New Loganton, ID 84447",AB+,1934-12-28,"803 Barbara Curve
Erinfurt, CT 67731",White,Actuary,F
5366,single,no,40.74066,91.97461,7.313175771139136,8.80504,4.50924,48.46882,50.31043,606-32-2327,7.09749,1.0,7.05964,6.93086,8.87668,5.60753,Dana Wallace,"725 Jo Isle Apt. 300
New Loganton, ID 84447",AB+,1934-12-28,"803 Barbara Curve
Erinfurt, CT 67731",White,Actuary,F
5367,married,no,87.98057,68.98193,7.44625,6.77851,6.04317,52.2514,42.72157,499-61-3215,6.87216,1.0,6.33075,5.08975,5.55435,5.67388,Diamond Bennett,"303 Paige Isle
Munozmouth, ME 03371",O-,1947-08-15,"7098 Alejandro Corner
Lake Apriltown, KS 37278",Hawaiian,Artist,F
5368,divorced,yes,79.88143,106.20755,5.2968,4.79794,5.37607,54.82943,51.83959,499-61-3215,6.58966,0.0,7.29907,6.15852,7.77332,6.36491,Diamond Bennett,"303 Paige Isle
Munozmouth, ME 03371",O-,1947-08-15,"7098 Alejandro Corner
Lake Apriltown, KS 37278",Hawaiian,Artist,F
